UID,RMSE,MAE
165588,4.966097831726074,4.966097831726074
98038,5.8559417724609375,5.8559417724609375
66696,4.75941801071167,4.75941801071167
39718,3.8402099609375,3.8402099609375
19576,2.5508933067321777,2.5508933067321777
162101,2.4844062328338623,2.4844062328338623
101737,4.7536115646362305,4.7536115646362305
16255,3.1551451683044434,3.1551451683044434
108112,3.677151679992676,3.677151679992676
4509,4.581997871398926,4.581997871398926
142156,4.686718463897705,4.686718463897705
57649,5.320882797241211,5.320882797241211
132,4.9879841804504395,4.9879841804504395
41530,4.697848796844482,4.697848796844482
141477,3.943929433822632,3.943929433822632
152359,3.5384082794189453,3.5384082794189453
28468,2.1672353744506836,2.1672353744506836
155231,5.784952163696289,5.784952163696289
166006,4.482565402984619,4.482565402984619
153412,5.600028991699219,5.600028991699219
19026,4.906302452087402,4.906302452087402
40221,5.676841735839844,5.676841735839844
44865,5.3926777839660645,5.3926777839660645
749,5.200878143310547,5.200878143310547
167501,4.181675434112549,4.181675434112549
76061,4.676234722137451,4.676234722137451
90749,5.203152656555176,5.203152656555176
122862,4.580601692199707,4.580601692199707
8147,2.1740777492523193,2.1740777492523193
81719,5.090330123901367,5.090330123901367
167214,4.670677185058594,4.670677185058594
101652,5.235897064208984,5.235897064208984
93991,5.235638618469238,5.235638618469238
117470,4.672732830047607,4.672732830047607
78002,4.714908599853516,4.714908599853516
83469,5.023255348205566,5.023255348205566
100119,1.437133550643921,1.437133550643921
125236,4.920125484466553,4.920125484466553
9155,6.038060665130615,6.038060665130615
159543,3.4332027435302734,3.4332027435302734
179896,5.837380409240723,5.837380409240723
43186,4.546584129333496,4.546584129333496
150466,5.337899208068848,5.337899208068848
95312,5.1389007568359375,5.1389007568359375
162894,5.484407901763916,5.484407901763916
20858,0.6158663034439087,0.6158663034439087
132009,5.099362850189209,5.099362850189209
138406,4.937023162841797,4.937023162841797
71873,5.436508655548096,5.436508655548096
65407,5.099887847900391,5.099887847900391
53532,4.508385181427002,4.508385181427002
72407,5.163029670715332,5.163029670715332
34912,4.5732550621032715,4.5732550621032715
64912,3.2116358280181885,3.2116358280181885
154550,5.371407985687256,5.371407985687256
29212,3.985642194747925,3.985642194747925
25196,5.6997809410095215,5.6997809410095215
163898,4.3862199783325195,4.3862199783325195
123570,5.153478622436523,5.153478622436523
97771,4.973087787628174,4.973087787628174
88436,1.6852083206176758,1.6852083206176758
163583,3.7160329818725586,3.7160329818725586
104289,5.528928756713867,5.528928756713867
94507,4.015417575836182,4.015417575836182
149984,2.891367197036743,2.891367197036743
98922,3.233210325241089,3.233210325241089
10711,4.746005535125732,4.746005535125732
125156,5.214944362640381,5.214944362640381
92652,3.9836912155151367,3.9836912155151367
87478,5.233770370483398,5.233770370483398
127588,4.666557312011719,4.666557312011719
73284,5.2950639724731445,5.2950639724731445
104678,3.566279172897339,3.566279172897339
124851,4.850006580352783,4.850006580352783
139932,4.140924453735352,4.140924453735352
110708,4.682523250579834,4.682523250579834
148885,3.955552816390991,3.955552816390991
77746,4.733748435974121,4.733748435974121
61961,4.901419639587402,4.901419639587402
23454,4.639409065246582,4.639409065246582
127147,4.141271114349365,4.141271114349365
94399,3.10164737701416,3.10164737701416
32627,3.200993776321411,3.200993776321411
79341,3.689720869064331,3.689720869064331
126137,2.8318538665771484,2.8318538665771484
160741,0.7841516137123108,0.7841516137123108
131942,4.059946537017822,4.059946537017822
75399,5.359875202178955,5.359875202178955
105573,2.7800040245056152,2.7800040245056152
83524,3.3998360633850098,3.3998360633850098
20423,3.998762369155884,3.998762369155884
141463,2.6900241374969482,2.6900241374969482
97295,4.62013578414917,4.62013578414917
44849,1.2118414640426636,1.2118414640426636
157398,2.4364638328552246,2.4364638328552246
27775,3.467376947402954,3.467376947402954
128533,5.422329902648926,5.422329902648926
45117,4.0800371170043945,4.0800371170043945
58528,4.190059185028076,4.190059185028076
171035,5.9233622550964355,5.9233622550964355
159792,4.890418529510498,4.890418529510498
42858,4.730168342590332,4.730168342590332
70548,5.154428482055664,5.154428482055664
62440,3.8987629413604736,3.8987629413604736
174847,5.308559894561768,5.308559894561768
160221,4.487555503845215,4.487555503845215
122998,2.943380117416382,2.943380117416382
122592,3.2193832397460938,3.2193832397460938
73608,5.721456527709961,5.721456527709961
26400,5.68488883972168,5.68488883972168
155521,5.073028564453125,5.073028564453125
79973,5.8968048095703125,5.8968048095703125
106769,5.83062744140625,5.83062744140625
31363,5.261548042297363,5.261548042297363
81495,4.826498508453369,4.826498508453369
180138,3.4878087043762207,3.4878087043762207
23229,4.437129497528076,4.437129497528076
154369,4.877401351928711,4.877401351928711
75219,2.1959116458892822,2.1959116458892822
140406,3.0645906925201416,3.0645906925201416
169577,4.719999313354492,4.719999313354492
91394,4.746531963348389,4.746531963348389
154528,3.606800079345703,3.606800079345703
75148,4.95674991607666,4.95674991607666
31800,1.8319716453552246,1.8319716453552246
