UID,MAE,RMSE
73728,4.75909423828125,4.792020797729492
48011,4.707474231719971,4.781739711761475
69543,4.836470127105713,4.862668037414551
41512,4.0095086097717285,4.159507751464844
62747,4.851398468017578,4.9211883544921875
27324,4.730898857116699,4.8320207595825195
54615,4.340502738952637,4.484164237976074
16209,4.515719890594482,4.72666072845459
144070,4.7581634521484375,4.825584411621094
116387,4.0795698165893555,4.181417942047119
142426,4.911365032196045,4.964364051818848
176379,3.8789260387420654,4.0277509689331055
121782,4.050326824188232,4.308907508850098
25133,3.6319096088409424,3.8643743991851807
11788,4.801140785217285,4.821195602416992
145193,4.643901348114014,4.691863059997559
155402,4.152245998382568,4.27902889251709
88162,4.6072306632995605,4.65779447555542
151187,4.931011199951172,4.947855472564697
89960,4.756496429443359,4.823254585266113
123160,3.9897730350494385,4.097636699676514
71572,3.2604708671569824,3.4136602878570557
76038,3.307377576828003,3.4040794372558594
126192,4.255341053009033,4.351891040802002
58061,4.151406764984131,4.410032749176025
82843,3.822338342666626,4.128933906555176
134110,5.010030269622803,5.0543317794799805
171647,4.863848686218262,4.907662868499756
111371,4.539543628692627,4.717806816101074
30883,4.712457180023193,4.737209320068359
1568,4.565223217010498,4.639830112457275
99211,4.963776111602783,5.031674385070801
32841,3.813760757446289,3.991204261779785
7166,4.520051002502441,4.635951519012451
49815,3.799548864364624,3.9780309200286865
14433,4.972710132598877,5.00784158706665
45064,4.288264274597168,4.3540191650390625
80548,4.247043132781982,4.35987663269043
64013,4.375791549682617,4.462594509124756
9155,5.021725177764893,5.050393581390381
155521,3.996238946914673,4.216580390930176
17049,4.401760101318359,4.54000997543335
71379,4.488471031188965,4.546453952789307
159124,4.612787246704102,4.646141529083252
91786,4.72313117980957,4.816997528076172
18784,4.701015472412109,4.808506965637207
47853,5.025008201599121,5.051406383514404
117077,4.705388069152832,4.767024040222168
134798,5.103394508361816,5.127130031585693
108972,4.731257438659668,4.756319999694824
68248,4.08587121963501,4.266815185546875
36499,4.169543743133545,4.376709938049316
93112,4.476135730743408,4.57790994644165
10968,4.896254539489746,4.932738304138184
110735,3.244549036026001,3.5225934982299805
127118,3.6725316047668457,4.039622783660889
9725,4.3226847648620605,4.509738922119141
152961,3.9133429527282715,4.066603660583496
166702,4.708424091339111,4.777301788330078
94850,4.1773505210876465,4.306670188903809
69850,5.0529375076293945,5.055437088012695
5357,4.489644527435303,4.594946384429932
21546,4.279701232910156,4.412659168243408
118838,3.7547059059143066,3.894070863723755
176123,4.842525005340576,4.882902145385742
130320,4.996657371520996,5.052832126617432
53879,3.539738416671753,3.7246477603912354
95501,4.842519760131836,4.861719608306885
163039,4.673588275909424,4.725130081176758
117987,3.192458391189575,3.5630886554718018
98719,4.504030704498291,4.560110569000244
86139,4.981977939605713,4.998165607452393
14416,4.456499099731445,4.513612747192383
5231,4.956821918487549,5.005515098571777
82210,4.8700079917907715,4.880368709564209
152626,3.1933810710906982,3.6648755073547363
101816,4.602794170379639,4.643920421600342
41803,4.767369270324707,4.804488182067871
87348,3.552968978881836,3.6909353733062744
13810,5.160645484924316,5.171574115753174
131133,2.408463478088379,2.866187334060669
88085,4.837143898010254,4.925737380981445
131867,4.650838375091553,4.712964057922363
10160,4.129319667816162,4.277926921844482
6613,3.8855528831481934,4.1256489753723145
63802,4.767696380615234,4.826137065887451
113,3.856165647506714,3.978473424911499
47878,4.379708290100098,4.469659328460693
87777,4.370214939117432,4.492875099182129
179166,4.8700785636901855,4.9067864418029785
7528,5.145711898803711,5.16224479675293
127303,4.120395183563232,4.2809882164001465
139993,4.05992317199707,4.172857284545898
88100,4.265778064727783,4.361998081207275
9879,4.2687578201293945,4.416395664215088
169313,4.0625691413879395,4.253922462463379
98933,3.4294421672821045,3.519808053970337
9125,4.983318328857422,5.058145999908447
171501,4.046115398406982,4.359227657318115
101523,4.534591197967529,4.586647033691406
122331,3.848874092102051,4.004656791687012
82795,3.9056649208068848,4.1467180252075195
49537,4.076289176940918,4.158294200897217
94399,2.990170478820801,3.010321617126465
132043,5.034327983856201,5.055150508880615
126853,4.438455104827881,4.558366298675537
151836,3.9050722122192383,3.998232841491699
101890,3.85644268989563,4.096611499786377
138780,4.791571617126465,4.818498134613037
24488,4.928418159484863,4.940701961517334
158908,4.892460823059082,4.958209037780762
37196,4.6788177490234375,4.812242031097412
35623,4.965095520019531,4.973606109619141
139970,3.8669843673706055,4.187117576599121
151619,4.312947750091553,4.489606857299805
156286,3.896291494369507,4.046976566314697
33191,4.157505035400391,4.239922523498535
121293,4.779172420501709,4.867223262786865
3195,4.693748474121094,4.713856220245361
79705,4.3050079345703125,4.4057159423828125
31131,4.043180465698242,4.250636100769043
75803,5.260984420776367,5.277953147888184
153923,4.778719425201416,4.837052345275879
40241,4.758355617523193,4.805598258972168
157075,3.5583927631378174,3.8880703449249268
136466,5.008543491363525,5.033680438995361
94802,4.5242719650268555,4.5426201820373535
156402,4.271295547485352,4.453370094299316
22224,4.601224422454834,4.623207092285156
10991,4.442291259765625,4.550688743591309
137273,4.4195876121521,4.4885172843933105
79511,4.378455638885498,4.550411701202393
130085,4.313735485076904,4.362939834594727
